Player,Nation,Weekly Wage,,Yearly Salary,,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Team
Álex Moreno,es ESP,"£90,000",,"£4,680,000",,DF,30,21,11,1031,11.5,2,0,2,2,0,0,2,0,1.1,1.1,1.1,2.3,32,24,83,0.17,0,0.17,0.17,0.17,0.1,0.1,0.2,0.1,0.2,Aston Villa
Đorđe Petrović,rs SRB,"£70,000",,"£3,640,000",,GK,23,23,22,1987,22.1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Chelsea
Łukasz Fabiański,pl POL,"£60,000",,"£3,120,000",,GK,38,10,7,721,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,West Ham United
Aaron Cresswell,eng ENG,"£53,000",,"£2,756,000",,"DF,FW",33,11,4,436,4.8,0,0,0,0,0,0,1,0,0,0,0.4,0.4,4,26,6,0,0,0,0,0,0,0.09,0.09,0,0.09,West Ham United
Aaron Hickey,sct SCO,"£35,000",,"£1,820,000",,DF,21,9,9,713,7.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,9,21,13,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Brentford
Aaron Ramsdale,eng ENG,"£83,000",,"£4,316,000",,GK,25,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Arsenal
Aaron Ramsey,eng ENG,"£28,000",,"£1,456,000",,"MF,FW",20,14,5,527,5.9,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8,8,17,0,0,0,0,0,0.06,0.07,0.13,0.06,0.13,Burnley
Aaron Wan-Bissaka,eng ENG,"£100,000",,"£5,200,000",,DF,25,22,20,1780,19.8,0,2,2,0,0,0,4,0,0.1,0.1,1.5,1.6,30,77,54,0,0.1,0.1,0,0.1,0.01,0.08,0.08,0.01,0.08,Manchester United
Abdoulaye Doucouré,ml MLI,"£120,000",,"£6,240,000",,"FW,MF",30,32,32,2629,29.2,7,1,8,7,0,0,7,0,8.8,8.8,2.9,11.6,55,97,140,0.24,0.03,0.27,0.24,0.27,0.3,0.1,0.4,0.3,0.4,Everton
Adam Lallana,eng ENG,"£70,000",,"£3,640,000",,"MF,FW",35,25,13,850,9.4,0,1,1,0,0,0,2,0,0.8,0.8,1.7,2.5,9,39,55,0,0.11,0.11,0,0.11,0.09,0.18,0.27,0.09,0.27,Brighton
Adam Smith,eng ENG,"£33,000",,"£1,716,000",,DF,32,28,25,2150,23.9,0,2,2,0,0,0,6,0,0.1,0.1,1.3,1.4,24,89,28,0,0.08,0.08,0,0.08,0,0.05,0.06,0,0.06,Bournemouth
Adam Webster,eng ENG,"£58,000",,"£3,016,000",,DF,28,15,13,1144,12.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.6,16,80,2,0,0,0,0,0,0.03,0.01,0.05,0.03,0.05,Brighton
Adama Traoré,es ESP,"£63,000",,"£3,276,000",,"FW,MF",27,17,1,377,4.2,2,3,5,2,0,0,2,0,1.5,1.5,0.7,2.2,29,16,48,0.48,0.72,1.19,0.48,1.19,0.36,0.17,0.53,0.36,0.53,Fulham
Albert Sambi Lokonga,be BEL,"£53,000",,"£2,756,000",,MF,23,17,16,1303,14.5,1,3,4,1,0,0,4,0,0.6,0.6,1.4,2,29,72,13,0.07,0.21,0.28,0.07,0.28,0.04,0.1,0.14,0.04,0.14,Luton Town
Alejandro Garnacho,ar ARG,"£53,000",,"£2,756,000",,FW,19,36,30,2565,28.5,7,4,11,7,0,0,4,0,8.4,8.3,5.1,13.4,178,62,281,0.25,0.14,0.39,0.25,0.39,0.29,0.18,0.47,0.29,0.47,Manchester United
Alejo Veliz,ar ARG,"£33,000",,"£1,716,000",,FW,19,8,0,50,0.6,1,0,1,1,0,0,1,0,0.2,0.2,0,0.2,0,1,3,1.8,0,1.8,1.8,1.8,0.45,0,0.45,0.45,0.45,Tottenham Hotspur
Alex Iwobi,ng NGA,"£83,000",,"£4,316,000",,"FW,MF",27,30,25,2192,24.4,5,2,7,5,0,0,2,0,5.3,5.3,4.7,10,109,147,175,0.21,0.08,0.29,0.21,0.29,0.22,0.19,0.41,0.22,0.41,Fulham
Alex Scott,eng ENG,"£53,000",,"£2,756,000",,MF,19,23,11,1014,11.3,1,1,2,1,0,0,3,0,0.7,0.7,1.7,2.4,24,50,35,0.09,0.09,0.18,0.09,0.18,0.06,0.15,0.22,0.06,0.22,Bournemouth
Alexander Isak,se SWE,"£120,000",,"£6,240,000",,FW,23,30,27,2255,25.1,21,2,23,16,5,6,1,0,20.3,15.6,3.7,19.3,68,71,129,0.84,0.08,0.92,0.64,0.72,0.81,0.15,0.96,0.62,0.77,Newcastle United
Alexis Mac Allister,ar ARG,"£150,000",,"£7,800,000",,MF,24,33,31,2599,28.9,5,5,10,4,1,1,7,1,3.7,2.9,3.6,6.4,44,209,48,0.17,0.17,0.35,0.14,0.31,0.13,0.12,0.25,0.1,0.22,Liverpool
Alfie Doughty,eng ENG,"£25,000",,"£1,300,000",,DF,23,37,34,2925,32.5,2,8,10,2,0,0,5,0,1.3,1.3,6.3,7.6,94,106,164,0.06,0.25,0.31,0.06,0.31,0.04,0.19,0.23,0.04,0.23,Luton Town
Alisson,br BRA,"£225,000",,"£11,700,000",,GK,30,28,28,2520,28,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Liverpool
Alphonse Areola,fr FRA,"£120,000",,"£6,240,000",,GK,30,31,31,2699,30,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,West Ham United
Amad Diallo,ci CIV,"£28,000",,"£1,456,000",,"FW,MF",21,9,3,390,4.3,1,1,2,1,0,0,1,0,0.5,0.5,1.1,1.6,11,10,31,0.23,0.23,0.46,0.23,0.46,0.12,0.24,0.36,0.12,0.36,Manchester United
Amadou Onana,be BEL,"£68,000",,"£3,536,000",,MF,21,30,23,2091,23.2,2,0,2,2,0,0,5,0,2,2,2.7,4.7,21,107,39,0.09,0,0.09,0.09,0.09,0.09,0.11,0.2,0.09,0.2,Everton
Amari'i Bell,jm JAM,"£28,000",,"£1,456,000",,DF,29,21,21,1720,19.1,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,32,76,10,0,0,0,0,0,0.01,0.02,0.04,0.01,0.04,Luton Town
Ameen Al-Dakhil,be BEL,"£16,000",,"£832,000",,DF,21,13,12,1056,11.7,1,0,1,1,0,0,1,0,1.3,1.3,0.1,1.4,7,35,9,0.09,0,0.09,0.09,0.09,0.11,0.01,0.12,0.11,0.12,Burnley
Anass Zaroury,ma MAR,"£33,000",,"£1,716,000",,"FW,MF",22,6,1,152,1.7,0,0,0,0,0,0,0,1,0.2,0.2,0,0.2,2,2,12,0,0,0,0,0,0.1,0.02,0.12,0.1,0.12,Burnley
André Gomes,pt POR,"£120,000",,"£6,240,000",,"MF,FW",30,12,3,508,5.6,1,0,1,1,0,0,4,0,0.3,0.3,0.4,0.7,8,36,29,0.18,0,0.18,0.18,0.18,0.05,0.07,0.13,0.05,0.13,Everton
André Onana,cm CMR,"£110,000",,"£5,720,000",,GK,27,38,38,3420,38,0,0,0,0,0,0,5,0,0,0,0.1,0.1,1,5,0,0,0,0,0,0,0,0,0,0,0,Manchester United
Andre Brooks,eng ENG,£850,,"£44,200",,"MF,DF",19,20,12,938,10.4,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,12,18,22,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Sheffield United
Andreas Pereira,br BRA,"£53,000",,"£2,756,000",,MF,27,37,34,2613,29,3,7,10,3,0,0,6,0,4.6,4.6,7.1,11.7,56,138,125,0.1,0.24,0.34,0.1,0.34,0.16,0.24,0.4,0.16,0.4,Fulham
Andrew Omobamidele,ie IRL,"£43,000",,"£2,236,000",,DF,21,11,8,783,8.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1,8,0,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Nottingham Forest
Andrew Robertson,sct SCO,"£160,000",,"£8,320,000",,DF,29,23,18,1693,18.8,3,2,5,3,0,0,2,0,1.9,1.9,5.4,7.3,63,140,130,0.16,0.11,0.27,0.16,0.27,0.1,0.29,0.39,0.1,0.39,Liverpool
Andrey Santos,br BRA,"£53,000",,"£2,756,000",,MF,19,1,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.64,0,0.64,0.64,0.64,Nottingham Forest
Anel Ahmedhodžić,ba BIH,"£28,000",,"£1,456,000",,DF,24,31,29,2649,29.4,2,0,2,2,0,0,11,1,3.1,3.1,0.8,4,15,43,21,0.07,0,0.07,0.07,0.07,0.11,0.03,0.14,0.11,0.14,Sheffield United
Angelo Ogbonna,it ITA,"£53,000",,"£2,756,000",,DF,35,11,7,635,7.1,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,West Ham United
Anis Slimane,tn TUN,"£20,000",,"£1,040,000",,MF,22,15,4,419,4.7,0,0,0,0,0,0,2,0,0.8,0.8,0.3,1.1,3,12,21,0,0,0,0,0,0.17,0.06,0.23,0.17,0.23,Sheffield United
Ansu Fati,es ESP,"£198,000",,"£10,296,000",,"MF,FW",20,19,3,521,5.8,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,16,28,50,0.35,0,0.35,0.35,0.35,0.59,0.14,0.73,0.59,0.73,Brighton
Anthony Elanga,se SWE,"£48,000",,"£2,496,000",,"FW,MF",21,36,25,2433,27,5,9,14,5,0,0,1,0,6.6,6.6,6.7,13.3,98,49,196,0.18,0.33,0.52,0.18,0.52,0.24,0.25,0.49,0.24,0.49,Nottingham Forest
Anthony Gordon,eng ENG,"£93,000",,"£4,836,000",,FW,22,35,34,2890,32.1,11,10,21,10,1,1,12,1,10.2,9.4,8,17.4,138,101,232,0.34,0.31,0.65,0.31,0.62,0.32,0.25,0.57,0.29,0.54,Newcastle United
Anthony Martial,fr FRA,"£250,000",,"£13,000,000",,FW,27,13,5,448,5,1,0,1,1,0,0,0,0,1.2,1.2,0.2,1.5,6,12,36,0.2,0,0.2,0.2,0.2,0.25,0.05,0.29,0.25,0.29,Manchester United
Antoine Semenyo,gh GHA,"£48,000",,"£2,496,000",,FW,23,33,25,2105,23.4,8,2,10,8,0,0,6,0,4.6,4.6,3.2,7.8,89,64,188,0.34,0.09,0.43,0.34,0.43,0.2,0.14,0.34,0.2,0.34,Bournemouth
Antonee Robinson,us USA,"£53,000",,"£2,756,000",,DF,25,37,37,3265,36.3,0,6,6,0,0,0,6,0,0.7,0.7,4.2,4.8,99,129,194,0,0.17,0.17,0,0.17,0.02,0.11,0.13,0.02,0.13,Fulham
Antony,br BRA,"£150,000",,"£7,800,000",,FW,23,29,15,1324,14.7,1,1,2,1,0,0,5,0,3.4,3.4,2.8,6.1,53,64,149,0.07,0.07,0.14,0.07,0.14,0.23,0.19,0.42,0.23,0.42,Manchester United
Arijanet Muric,xk KVX,"£27,000",,"£1,404,000",,GK,24,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Burnley
Armando Broja,al ALB,"£78,000",,"£4,056,000",,FW,21,13,6,454,5,1,0,1,1,0,0,0,0,2.4,2.4,0.2,2.5,11,6,37,0.2,0,0.2,0.2,0.2,0.47,0.03,0.5,0.47,0.5,Chelsea
Arnaut Danjuma,nl NED,"£50,000",,"£2,600,000",,"MF,FW",26,14,5,595,6.6,1,0,1,1,0,0,0,0,2.6,2.6,1.1,3.7,24,9,44,0.15,0,0.15,0.15,0.15,0.4,0.17,0.57,0.4,0.57,Everton
Ashley Young,eng ENG,"£43,000",,"£2,236,000",,"DF,MF",38,31,27,2280,25.3,0,0,0,0,0,0,7,1,0.6,0.6,1.5,2.1,40,82,61,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08,Everton
Auston Trusty,us USA,"£23,000",,"£1,196,000",,DF,24,32,28,2572,28.6,0,0,0,0,0,0,4,0,0.4,0.4,1.1,1.5,10,40,15,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Sheffield United
Axel Disasi,fr FRA,"£78,000",,"£4,056,000",,DF,25,31,29,2579,28.7,2,0,2,2,0,0,6,0,2.4,2.4,0.3,2.7,30,112,21,0.07,0,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09,Chelsea
Bart Verbruggen,nl NED,"£23,000",,"£1,196,000",,GK,20,21,21,1890,21,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Brighton
Ben Chilwell,eng ENG,"£190,000",,"£9,880,000",,DF,26,13,9,756,8.4,0,1,1,0,0,0,5,0,1.2,1.2,2.2,3.4,22,25,59,0,0.12,0.12,0,0.12,0.14,0.26,0.41,0.14,0.41,Chelsea
Ben Davies,wls WAL,"£100,000",,"£5,200,000",,DF,30,17,12,1090,12.1,1,0,1,1,0,0,2,0,2.3,2.3,0.4,2.7,13,71,20,0.08,0,0.08,0.08,0.08,0.19,0.03,0.23,0.19,0.23,Tottenham Hotspur
Ben Doak,sct SCO,"£3,500",,"£182,000",,FW,17,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liverpool
Ben Godfrey,eng ENG,"£68,000",,"£3,536,000",,DF,25,15,13,1120,12.4,0,0,0,0,0,0,2,0,1.7,1.7,0.3,2,11,43,26,0,0,0,0,0,0.14,0.02,0.16,0.14,0.16,Everton
Ben Johnson,eng ENG,"£33,000",,"£1,716,000",,"DF,FW",23,14,4,544,6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,17,22,33,0,0,0,0,0,0.03,0,0.03,0.03,0.03,West Ham United
Ben Mee,eng ENG,"£43,000",,"£2,236,000",,DF,33,16,15,1272,14.1,2,0,2,2,0,0,1,1,1.5,1.5,0.3,1.8,11,49,9,0.14,0,0.14,0.14,0.14,0.1,0.02,0.13,0.1,0.13,Brentford
Ben White,eng ENG,"£93,000",,"£4,836,000",,DF,25,37,35,2988,33.2,4,4,8,4,0,0,8,0,1.2,1.2,3.8,5,44,192,162,0.12,0.12,0.24,0.12,0.24,0.03,0.11,0.15,0.03,0.15,Arsenal
Benoît Badiashile,fr FRA,"£120,000",,"£6,240,000",,DF,22,18,15,1338,14.9,0,1,1,0,0,0,3,0,0.3,0.3,1.5,1.8,3,46,3,0,0.07,0.07,0,0.07,0.02,0.1,0.12,0.02,0.12,Chelsea
Bernardo Silva,pt POR,"£250,000",,"£13,000,000",,"MF,FW",28,33,29,2578,28.6,6,9,15,6,0,0,8,0,3.7,3.7,7.6,11.3,140,177,260,0.21,0.31,0.52,0.21,0.52,0.13,0.27,0.4,0.13,0.4,Manchester City
Bernd Leno,de GER,"£88,000",,"£4,576,000",,GK,31,38,38,3420,38,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fulham
Bertrand Traoré,bf BFA,"£63,000",,"£3,276,000",,"DF,FW",27,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aston Villa
Beto,gw GNB,"£53,000",,"£2,756,000",,FW,25,30,9,951,10.6,3,0,3,3,0,1,2,0,6.8,6,0.9,6.9,14,14,58,0.28,0,0.28,0.28,0.28,0.64,0.09,0.73,0.57,0.66,Everton
Billy Gilmour,sct SCO,"£38,000",,"£1,976,000",,MF,22,30,24,2120,23.6,0,1,1,0,0,0,8,1,1,1,2,3,39,193,33,0,0.04,0.04,0,0.04,0.04,0.09,0.13,0.04,0.13,Brighton
Bobby Decordova-Reid,jm JAM,"£38,000",,"£1,976,000",,FW,30,33,17,1423,15.8,6,2,8,6,0,0,4,0,4.6,4.6,1.8,6.4,35,47,95,0.38,0.13,0.51,0.38,0.51,0.28,0.11,0.4,0.28,0.4,Fulham
Boubacar Kamara,fr FRA,"£100,000",,"£5,200,000",,MF,23,20,20,1652,18.4,0,1,1,0,0,0,7,1,0.1,0.1,1.3,1.4,19,83,10,0,0.05,0.05,0,0.05,0.01,0.07,0.08,0.01,0.08,Aston Villa
Boubacar Traoré,ml MLI,"£53,000",,"£2,756,000",,MF,21,24,7,819,9.1,0,0,0,0,0,0,4,0,0.3,0.3,0.4,0.7,9,29,15,0,0,0,0,0,0.03,0.04,0.07,0.03,0.07,Wolverhampton
Brennan Johnson,wls WAL,"£63,000",,"£3,276,000",,FW,22,32,23,2085,23.2,5,10,15,5,0,0,3,0,10.3,10.3,8.1,18.3,97,72,293,0.22,0.43,0.65,0.22,0.65,0.44,0.35,0.79,0.44,0.79,Tottenham Hotspur
Bruno Fernandes,pt POR,"£250,000",,"£13,000,000",,"MF,FW",28,35,35,3118,34.6,10,8,18,6,4,5,9,0,10,6.1,11.8,17.8,86,297,182,0.29,0.23,0.52,0.17,0.4,0.29,0.34,0.63,0.18,0.51,Manchester United
Bryan Gil,es ESP,"£83,000",,"£4,316,000",,"FW,MF",22,11,2,209,2.3,0,0,0,0,0,0,0,0,0.8,0.8,0.2,1,11,16,49,0,0,0,0,0,0.32,0.09,0.41,0.32,0.41,Tottenham Hotspur
Bryan Mbeumo,cm CMR,"£43,000",,"£2,236,000",,FW,23,25,22,1960,21.8,9,6,15,6,3,3,2,0,9.8,7.4,4.6,12.1,74,88,195,0.41,0.28,0.69,0.28,0.55,0.45,0.21,0.66,0.34,0.55,Brentford
Bukayo Saka,eng ENG,"£250,000",,"£13,000,000",,FW,21,35,35,2919,32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,155,126,508,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,Arsenal
Cédric Soares,pt POR,"£67,000",,"£3,484,000",,DF,31,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,Arsenal
Callum Hudson-Odoi,eng ENG,"£82,000",,"£4,264,000",,"FW,MF",22,29,20,1854,20.6,8,1,9,8,0,0,0,0,2.7,2.7,2.8,5.5,111,58,171,0.39,0.05,0.44,0.39,0.44,0.13,0.14,0.27,0.13,0.27,Nottingham Forest
Callum Wilson,eng ENG,"£110,000",,"£5,720,000",,FW,31,20,9,991,11,9,1,10,7,2,2,3,0,8.8,7.2,0.6,7.8,11,9,77,0.82,0.09,0.91,0.64,0.73,0.8,0.05,0.85,0.65,0.71,Newcastle United
Calum Chambers,eng ENG,"£57,000",,"£2,964,000",,"MF,DF",28,5,1,152,1.7,0,1,1,0,0,0,1,0,0,0,0.1,0.1,0,5,1,0,0.59,0.59,0,0.59,0,0.06,0.06,0,0.06,Aston Villa
Calvin Bassey,ng NGA,"£47,000",,"£2,444,000",,DF,23,29,25,2303,25.6,1,0,1,1,0,0,6,1,0.3,0.3,0,0.4,15,62,4,0.04,0,0.04,0.04,0.04,0.01,0,0.01,0.01,0.01,Fulham
Cameron Archer,eng ENG,"£37,000",,"£1,924,000",,"FW,MF",22,29,21,1832,20.4,4,1,5,4,0,0,1,0,5.5,5.5,2.8,8.3,33,15,113,0.2,0.05,0.25,0.2,0.25,0.27,0.14,0.41,0.27,0.41,Sheffield United
Caoimhin Kelleher,ie IRL,"£32,000",,"£1,664,000",,GK,24,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Liverpool
Carlos Baleba,cm CMR,"£20,000",,"£1,040,000",,MF,19,27,15,1325,14.7,0,0,0,0,0,0,7,0,0.8,0.8,0.3,1.1,19,50,9,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08,Brighton
Carlos Vinícius,br BRA,"£57,000",,"£2,964,000",,FW,28,13,2,315,3.5,2,0,2,2,0,0,2,0,1.6,1.6,0.8,2.4,3,3,13,0.57,0,0.57,0.57,0.57,0.46,0.23,0.69,0.46,0.69,Fulham
Carlton Morris,eng ENG,"£32,000",,"£1,664,000",,"FW,MF",27,38,32,2862,31.8,11,4,15,6,5,5,4,0,11.4,7.5,2.8,10.2,37,56,120,0.35,0.13,0.47,0.19,0.31,0.36,0.09,0.45,0.23,0.32,Luton Town
Carney Chukwuemeka,eng ENG,"£100,000",,"£5,200,000",,"MF,FW",19,9,2,227,2.5,1,1,2,1,0,0,2,0,0.2,0.2,0.3,0.5,4,12,19,0.4,0.4,0.79,0.4,0.79,0.06,0.13,0.19,0.06,0.19,Chelsea
Casemiro,br BRA,"£300,000",,"£15,600,000",,"MF,DF",31,25,24,1982,22,1,2,3,1,0,0,7,0,3.5,3.5,1,4.5,12,112,36,0.05,0.09,0.14,0.05,0.14,0.16,0.05,0.2,0.16,0.2,Manchester United
Cauley Woodrow,eng ENG,"£24,000",,"£1,248,000",,"FW,MF",28,24,2,427,4.7,1,1,2,1,0,0,2,0,1.4,1.4,1.2,2.6,7,6,22,0.21,0.21,0.42,0.21,0.42,0.3,0.25,0.55,0.3,0.55,Luton Town
Charlie Taylor,eng ENG,"£32,000",,"£1,664,000",,DF,29,28,25,2331,25.9,1,1,2,1,0,0,8,0,0.2,0.2,1.2,1.5,36,82,81,0.04,0.04,0.08,0.04,0.08,0.01,0.05,0.06,0.01,0.06,Burnley
Cheick Doucouré,ml MLI,"£47,000",,"£2,444,000",,MF,23,11,11,919,10.2,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1,9,49,5,0,0,0,0,0,0.03,0.07,0.1,0.03,0.1,Crystal Palace
Cheikhou Kouyaté,sn SEN,"£42,000",,"£2,184,000",,MF,33,12,2,212,2.4,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,0,5,5,0,0,0,0,0,0.12,0.02,0.14,0.12,0.14,Nottingham Forest
Chiedozie Ogbene,ie IRL,"£25,000",,"£1,300,000",,"MF,DF",26,30,20,1995,22.2,4,1,5,4,0,0,1,0,4.2,4.2,3.1,7.4,127,53,150,0.18,0.05,0.23,0.18,0.23,0.19,0.14,0.33,0.19,0.33,Luton Town
Chris Basham,eng ENG,"£24,000",,"£1,248,000",,"DF,MF",35,8,3,321,3.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,1,7,6,0,0,0,0,0,0.04,0.07,0.1,0.04,0.1,Sheffield United
Chris Mepham,wls WAL,"£37,000",,"£1,924,000",,DF,25,10,6,617,6.9,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,4,25,1,0,0.15,0.15,0,0.15,0.01,0.06,0.07,0.01,0.07,Bournemouth
